rp,direction,ground_motion,story_1,story_2,story_3,story_4,story_5,story_6,story_7,story_8,story_9,story_10,story_11,story_12
43,1,34,0.00238961,0.00342484,0.00359471,0.00377705,0.00383561,0.00347809,0.00292089,0.00266565,0.00282548,0.00291052,0.00268945,0.00204815
43,1,35,0.00102115,0.00145757,0.00150442,0.00149809,0.00155265,0.00173516,0.00188257,0.00192913,0.00205315,0.0019,0.00150809,0.0011163
43,1,36,0.000972296,0.0011711,0.000870707,0.000794644,0.0012532,0.00163593,0.0017412,0.00136523,0.00109569,0.00176567,0.00201876,0.00166157
43,1,37,0.00196772,0.00283505,0.00289072,0.00274227,0.00265998,0.00273097,0.00285562,0.00287608,0.00287697,0.00264468,0.00214206,0.0015756
43,1,38,0.00209461,0.00300497,0.0030487,0.00288409,0.00279366,0.00279051,0.00286054,0.00286075,0.00285328,0.00262242,0.00212745,0.00156805
43,1,39,0.00111052,0.00159145,0.00164122,0.0015927,0.00158593,0.00157789,0.00152594,0.00143541,0.0014101,0.00138047,0.00146089,0.00123606
43,1,40,0.0012112,0.00161942,0.00138292,0.00118885,0.00130568,0.00134077,0.00127038,0.00161048,0.00198523,0.00200769,0.00173389,0.00131637
43,1,41,0.002678,0.0037356,0.00381711,0.00356502,0.00320919,0.00280632,0.00313109,0.00333605,0.00345807,0.00331924,0.00277598,0.00203742
43,1,42,0.00123119,0.00182872,0.00197064,0.00206915,0.00223702,0.00241141,0.00240224,0.00228865,0.00221023,0.00200653,0.00163421,0.00121495
43,1,43,0.00123647,0.00163309,0.00187942,0.00191663,0.00183838,0.00148441,0.00152037,0.00165801,0.0018661,0.00196346,0.00198434,0.00160568
43,1,44,0.000944495,0.00147427,0.00152703,0.00135083,0.00122397,0.00116432,0.00137138,0.00178001,0.00193809,0.00220501,0.00224983,0.00174274
43,2,1,0.00226139,0.00303548,0.00272349,0.00232184,0.00204536,0.00299863,0.00363653,0.00399398,0.00426608,0.0040959,0.00336711,0.00243904
43,2,2,0.00213767,0.00295434,0.00270895,0.00226425,0.00197799,0.00237418,0.00280933,0.00294699,0.00292465,0.00302175,0.00261588,0.00192833
43,2,3,0.0018229,0.0026222,0.00262361,0.00270315,0.00285706,0.00293651,0.00285831,0.0026697,0.00246617,0.0023871,0.00212125,0.00162156
43,2,4,0.0011279,0.00155801,0.00149947,0.00164784,0.00182092,0.00186282,0.001712,0.00149803,0.00180848,0.00195551,0.00175645,0.00151612
43,2,5,0.00189757,0.00271036,0.00268192,0.00239354,0.00247181,0.002557,0.00247124,0.00273771,0.00298207,0.00286484,0.00249188,0.00195333
43,2,6,0.0015166,0.00211601,0.00201061,0.00167282,0.00131415,0.00137711,0.0019903,0.00251106,0.0028726,0.00283055,0.00234814,0.0016961
43,2,7,0.0011897,0.0016704,0.00170036,0.00160244,0.00145689,0.00127116,0.00130525,0.0013991,0.00156587,0.00158441,0.00137671,0.00105211
43,2,8,0.00159932,0.00197151,0.00206981,0.00228464,0.00260842,0.00270593,0.00253874,0.00239687,0.00257038,0.00244991,0.00213935,0.00175898
43,2,9,0.00199598,0.00269676,0.00265198,0.00262983,0.00281856,0.00293702,0.00288197,0.00280264,0.00314238,0.00312339,0.00261803,0.00197426
43,2,10,0.00340687,0.00461984,0.00491185,0.00496895,0.00512669,0.00510043,0.00483251,0.00447184,0.00438344,0.00426711,0.00372758,0.00279755
43,2,11,0.00200395,0.00287403,0.00302633,0.00313504,0.00316119,0.00292649,0.00255978,0.00232196,0.0023457,0.00232979,0.00209973,0.00158516
43,2,12,0.00132501,0.00189609,0.00185798,0.00166832,0.0018822,0.00197979,0.00184524,0.00155278,0.00176989,0.0018589,0.00157977,0.0011913
43,2,13,0.00280633,0.00377634,0.0036463,0.00337902,0.00362743,0.00409213,0.00416147,0.00372138,0.00368776,0.00398194,0.00362619,0.00279951
43,2,14,0.00204736,0.00277007,0.00270291,0.00269252,0.00305302,0.0032728,0.00309802,0.00281141,0.00267441,0.00282214,0.00299558,0.00245186
43,2,15,0.00216112,0.00303877,0.00296146,0.00262355,0.0027634,0.00327545,0.00357587,0.00366446,0.00370897,0.00345518,0.00281102,0.00204767
43,2,16,0.00127747,0.00193568,0.00201768,0.00184988,0.00161968,0.00152776,0.00146155,0.00177743,0.00209686,0.00215968,0.0018758,0.00139533
43,2,17,0.00166113,0.00233792,0.00231195,0.00214769,0.00216788,0.00211378,0.00217961,0.00213,0.00198576,0.00188332,0.00155914,0.00115005
43,2,18,0.0015251,0.00219054,0.00225367,0.0021735,0.00218089,0.00236482,0.00240453,0.00247645,0.00256721,0.00242295,0.0020298,0.0015217
43,2,19,0.000984259,0.00132324,0.0011806,0.000985474,0.000947417,0.0011487,0.00125739,0.00126791,0.00137042,0.00139241,0.00124418,0.000972342
