sa,rp,direction,gm,floor_1,floor_2,floor_3,floor_4,floor_5,floor_6,floor_7,floor_8,floor_9,floor_10,floor_11,floor_12,floor_13,floor_14,floor_15,floor_16,floor_17,floor_18,floor_19,floor_20,floor_21
0.027,43,1,11,0.0876109135927692,0.453306865284974,0.457151943005181,0.423164663212435,0.38468225388601,0.370134585492228,0.381237435233161,0.39546707253886,0.393473808290155,0.378955829015544,0.368693652849741,0.366854015544041,0.367389766839378,0.365477590673575,0.360480958549223,0.358962564766839,0.371992098445596,0.39461225388601,0.407405129533679,0.400976398963731,0.394469523316062
0.027,43,1,12,0.0424235599834428,0.443998507772018,0.439620917098441,0.420753455958546,0.417197160621759,0.426078637305697,0.432970787564764,0.435667782383417,0.435165606217614,0.428543215025904,0.411898145077717,0.388470398963728,0.377834660621761,0.380202598445594,0.37718512435233,0.395763663212432,0.41891995854922,0.443016538860101,0.461013404145075,0.468106668393779,0.468297601036266
0.027,43,1,13,0.0812477821329861,0.284514046632122,0.254889124352328,0.229770860103627,0.202341626943005,0.189352927461139,0.190871932642487,0.195339642487046,0.191040678756475,0.176962958549221,0.163911922279791,0.162355611398964,0.174951984455959,0.192728150259067,0.20913825388601,0.224566067357512,0.242543269430051,0.263251818652849,0.282693243523315,0.297656445595854,0.308490689119171
0.027,43,1,14,0.0346905748966448,0.209952196891192,0.198343595854922,0.187735823834197,0.17840785492228,0.166699393782383,0.162448357512953,0.159735663212435,0.157920119170984,0.156281497409326,0.154527611398964,0.153678388601036,0.155860274611399,0.161453538860104,0.167681777202073,0.170808720207254,0.169101725388601,0.164559497409326,0.160144989637306,0.158027870466321,0.157449113989637
0.027,43,1,15,0.0861616008251347,0.542924507772021,0.529864906735751,0.508180994818653,0.481863637305699,0.454313378238342,0.434862860103627,0.42882607253886,0.430503015544041,0.434058196891192,0.439203274611399,0.447057419689119,0.458985398963731,0.476160010362694,0.493370373056995,0.502986176165803,0.500848352331606,0.488730476683938,0.471778404145078,0.456205865284974,0.445516227979275
0.027,43,1,16,0.0561510587373819,0.353730958549223,0.327255284974093,0.304560979274611,0.288360455958556,0.28070372020726,0.279217191709851,0.283788694300524,0.291122373057001,0.301496466321249,0.314007683937829,0.321312088082907,0.316582606217622,0.310855419689119,0.305157357512953,0.315024196891192,0.327522124352332,0.333118756476684,0.328180155440415,0.318753989637306,0.311610207253886
0.027,43,1,17,0.12176032961819,0.290804414507772,0.267556487046632,0.242388093264249,0.226576647668392,0.221338046632123,0.221498409326423,0.22358519689119,0.227342709844558,0.229523538860102,0.220771466321242,0.199875611398962,0.180782347150257,0.178585715025905,0.193313694300517,0.209875352331604,0.209116803108806,0.224697316062175,0.219654829015542,0.226202968911916,0.239261259067356
0.027,43,1,18,0.329382413036034,0.469256637305696,0.504592906735746,0.498422958549217,0.477334616580303,0.425022958549213,0.420754290155436,0.420286259067354,0.356884704663209,0.237231637305695,0.308977481865282,0.390230642487043,0.419302715025903,0.388057585492225,0.372313025906735,0.41476755440414,0.346794740932637,0.334858730569941,0.339089797927452,0.389980852331598,0.461232274611398
0.027,43,1,19,0.0255462845429723,0.146778502590677,0.138899046632129,0.132213502590677,0.127203658031091,0.12378604145078,0.12207671502591,0.121408321243527,0.121385782383424,0.122274901554408,0.123871792746118,0.125181378238346,0.125516870466325,0.125383450777206,0.125958528497412,0.127762958549225,0.129241430051816,0.130688259067358,0.134447300518136,0.137776134715027,0.140500227979276
0.027,43,1,20,0.0326903308855,0.191166533678756,0.191989523316062,0.19043914507772,0.186791974870466,0.18148103626943,0.174863160621766,0.168569637305704,0.160338075129538,0.150538678756482,0.143410082901554,0.146854642487045,0.149404901554404,0.149472590673575,0.147384968911917,0.145513523316062,0.144774663212435,0.143360932642487,0.140759378238342,0.142031797927465,0.158640606217621
